proto,sttl,dttl,dloss,Spkts,Dpkts,swin,dwin,smeansz,ct_state_ttl,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,Label
0,254,0,0,2,0,0,0,57,2,14,14,7,7,1,1
1,254,252,1,10,6,255,255,83,1,4,1,1,1,4,1
1,62,252,10,20,24,255,255,49,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,38,38,20,38,1,1
0,254,0,0,2,0,0,0,57,2,45,45,45,45,1,1
1,31,29,7,18,18,255,255,240,0,6,7,1,3,0,0
0,254,0,0,2,0,0,0,57,2,15,15,15,15,1,1
0,254,0,0,2,0,0,0,57,2,57,57,23,57,1,1
1,62,252,2,10,10,255,255,80,1,1,2,1,1,3,1
1,31,29,5,14,18,255,255,120,0,1,2,1,1,0,0
1,31,29,17,70,60,255,255,178,0,1,1,1,2,0,0
0,31,29,0,2,2,0,0,65,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,11,11,11,11,1,1
1,254,252,1,10,8,255,255,56,1,2,1,1,1,5,1
0,254,0,0,2,0,0,0,57,2,37,37,8,37,1,1
1,31,29,5,14,18,255,255,120,0,2,2,1,5,0,0
1,31,29,12,36,38,255,255,65,0,4,4,1,1,0,0
0,31,29,0,4,4,0,0,134,0,17,8,1,2,0,0
1,31,29,2,8,10,255,255,132,0,3,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,35,35,34,35,1,1
1,31,29,18,48,50,255,255,62,0,5,8,1,2,0,0
1,31,29,26,64,66,255,255,59,0,7,10,1,1,0,0
3,254,0,0,2,0,0,0,100,2,6,6,3,6,3,1
0,254,0,0,2,0,0,0,57,2,32,32,15,32,1,1
1,31,29,42,96,98,255,255,57,0,11,11,1,2,0,0
0,254,0,0,2,0,0,0,57,2,12,12,5,5,1,1
0,254,0,0,2,0,0,0,57,2,34,34,34,34,1,1
0,254,0,0,2,0,0,0,57,2,12,12,12,12,1,1
1,31,29,14,40,42,255,255,64,0,9,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,33,33,17,33,1,1
0,31,29,0,4,4,0,0,142,0,2,7,1,2,0,0
0,254,0,0,2,0,0,0,57,2,28,28,8,28,1,1
0,31,29,0,2,2,0,0,73,0,2,4,2,2,0,0
0,254,0,0,2,0,0,0,57,2,32,32,18,32,1,1
72,254,0,0,2,0,0,0,100,2,6,6,2,6,3,1
1,254,252,1,10,6,255,255,53,1,11,11,4,11,2,1
1,254,252,2,12,10,255,255,93,1,7,3,5,3,2,1
0,254,0,0,2,0,0,0,57,2,17,17,17,17,1,1
1,31,29,16,44,46,255,255,63,0,9,7,1,1,0,0
0,31,29,0,2,2,0,0,65,0,3,1,3,1,0,0
1,31,29,6,22,24,255,255,87,0,3,3,1,1,0,0
0,31,29,0,2,2,0,0,73,0,2,2,1,2,0,0
0,60,0,0,2,0,0,0,132,0,37,37,23,37,0,0
1,62,252,8,48,24,255,255,860,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,44,44,44,44,1,1
0,60,0,0,2,0,0,0,132,0,35,35,11,35,0,0
0,254,0,0,2,0,0,0,57,2,34,34,16,34,1,1
0,254,0,0,2,0,0,0,57,2,31,31,22,31,1,1
1,31,29,11,34,36,255,255,66,0,8,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,46,46,14,46,1,1
0,254,0,0,2,0,0,0,57,2,51,51,37,51,1,1
1,31,29,18,48,50,255,255,62,0,3,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,35,35,21,35,1,1
0,60,0,0,2,0,0,0,132,0,35,35,18,35,0,0
0,60,0,0,2,0,0,0,132,0,49,49,49,49,0,0
1,31,29,6,22,24,255,255,87,0,7,1,1,1,0,0
0,31,29,0,4,4,0,0,134,0,12,7,1,3,0,0
1,31,29,30,72,74,255,255,59,0,8,3,1,1,0,0
3,254,0,0,2,0,0,0,100,2,3,3,2,3,4,1
1,31,29,370,362,746,255,255,53,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,36,36,17,36,1,1
1,31,29,18,48,50,255,255,62,0,11,7,1,1,0,0
0,254,0,0,2,0,0,0,57,2,41,41,41,41,1,1
3,254,0,0,2,0,0,0,100,2,11,11,4,14,3,1
0,60,0,0,2,0,0,0,132,0,19,19,19,19,0,0
0,254,0,0,2,0,0,0,57,2,34,34,18,34,1,1
1,31,29,2,6,8,255,255,53,0,4,9,1,1,0,0
1,31,29,32,122,126,255,255,64,0,5,8,1,1,0,0
1,31,29,7,18,18,255,255,215,0,13,14,4,8,0,0
0,254,0,0,2,0,0,0,57,2,19,19,17,19,1,1
1,31,29,4,8,12,255,255,53,0,3,3,1,5,0,0
1,31,29,4,12,12,255,255,86,0,5,4,1,2,0,0
1,254,252,5,14,14,255,255,91,1,2,1,2,1,2,1
0,254,0,0,2,0,0,0,84,2,1,1,1,7,5,1
1,31,29,8,52,42,255,255,717,0,11,19,1,1,0,0
1,31,29,2,6,8,255,255,53,0,3,3,1,4,0,0
0,254,0,0,2,0,0,0,57,2,53,53,35,53,1,1
1,31,29,13,38,40,255,255,64,0,2,10,1,2,0,0
1,31,29,17,46,48,255,255,62,0,8,10,1,6,0,0
3,254,0,0,2,0,0,0,100,2,9,9,5,13,3,1
1,254,252,1,10,6,255,255,53,1,5,3,1,3,0,0
1,31,29,2,6,8,255,255,53,0,6,3,1,4,0,0
14,254,0,0,2,0,0,0,100,2,7,7,4,7,4,1
1,31,29,4,8,12,255,255,53,0,2,2,1,2,0,0
1,31,29,7,18,18,255,255,221,0,18,6,1,5,0,0
0,254,0,0,2,0,0,0,57,2,35,35,35,36,1,1
0,60,0,0,2,0,0,0,132,0,45,45,45,45,0,0
1,31,29,2,6,8,255,255,53,0,3,5,1,5,0,0
1,31,29,4,16,18,255,255,96,0,10,5,3,4,0,0
1,31,29,2,6,8,255,255,53,0,3,3,1,1,0,0
0,60,0,0,2,0,0,0,132,0,45,45,22,45,0,0
0,31,29,0,2,2,0,0,66,0,3,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,36,36,16,36,1,1
3,254,0,0,2,0,0,0,100,2,3,3,3,3,3,1
0,254,0,0,2,0,0,0,57,2,13,13,13,13,1,1
1,31,29,31,108,114,255,255,88,0,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,37,37,18,37,1,1
0,254,0,0,2,0,0,0,57,2,25,25,22,25,1,1
0,254,0,0,2,0,0,0,57,2,22,22,20,22,1,1
5,0,0,0,1,0,0,0,46,2,1,1,1,1,0,0
1,31,29,18,50,50,255,255,62,0,3,11,1,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,13,31,1,1
0,254,0,0,2,0,0,0,57,2,29,29,24,29,1,1
3,254,0,0,2,0,0,0,100,2,2,2,2,3,7,1
1,31,29,4,16,18,255,255,96,0,13,6,11,6,0,0
1,31,29,8,52,42,255,255,716,0,1,1,1,1,0,0
1,31,29,6,22,24,255,255,87,0,5,6,1,1,0,0
0,31,29,0,2,2,0,0,65,0,2,3,2,3,0,0
0,60,0,0,2,0,0,0,132,0,24,24,19,24,0,0
1,31,29,4,12,12,255,255,86,0,7,3,1,1,0,0
0,31,29,0,2,2,0,0,73,0,3,6,3,3,0,0
0,254,0,0,2,0,0,0,57,2,25,25,24,25,1,1
0,60,0,0,2,0,0,0,132,0,14,14,6,14,0,0
0,31,29,0,4,4,0,0,142,0,6,7,1,4,0,0
0,254,0,0,2,0,0,0,57,2,28,28,17,28,1,1
1,62,252,8,60,26,255,255,841,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,23,23,22,23,1,1
13,254,0,0,20,0,0,0,64,2,1,1,1,1,5,1
1,31,29,14,40,42,255,255,64,0,5,4,1,1,0,0
0,31,29,0,4,4,0,0,134,0,15,8,1,7,0,0
0,254,0,0,2,0,0,0,57,2,32,32,22,32,1,1
0,254,0,0,2,0,0,0,57,2,50,50,37,50,1,1
1,31,29,15,44,42,255,255,63,0,6,6,1,2,0,0
1,31,29,5,14,18,255,255,120,0,1,1,1,1,0,0
0,31,29,0,2,2,0,0,65,0,3,1,2,2,0,0
1,31,29,12,36,38,255,255,65,0,7,5,1,1,0,0
0,254,0,0,2,0,0,0,57,2,45,45,44,45,1,1
0,254,0,0,2,0,0,0,57,2,32,32,8,32,1,1
0,254,0,0,2,0,0,0,57,2,23,23,7,7,1,1
0,254,0,0,2,0,0,0,57,2,34,34,34,34,1,1
0,31,29,0,4,4,0,0,132,0,12,11,1,3,0,0
1,254,252,1,10,6,255,255,53,1,9,5,2,5,2,1
0,254,0,0,2,0,0,0,57,2,34,34,34,34,1,1
0,254,0,0,2,0,0,0,57,2,5,5,5,5,1,1
1,62,252,6,18,16,255,255,320,1,3,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,10,10,8,10,1,1
0,31,29,0,2,2,0,0,73,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,29,29,24,29,1,1
0,254,0,0,2,0,0,0,57,2,29,29,24,29,1,1
0,254,0,0,2,0,0,0,57,2,50,50,22,50,1,1
0,254,0,0,2,0,0,0,57,2,31,31,7,31,1,1
1,31,29,2,8,10,255,255,130,0,2,2,1,2,0,0
1,31,29,390,444,858,255,255,56,0,12,6,1,7,0,0
0,254,0,0,2,0,0,0,57,2,40,40,31,40,1,1
0,254,0,0,2,0,0,0,57,2,9,9,8,9,1,1
5,0,0,0,4,4,0,0,46,0,2,2,2,2,0,0
1,31,29,7,28,28,255,255,156,0,14,5,1,3,0,0
0,31,29,0,2,2,0,0,73,0,2,4,1,2,0,0
0,60,0,0,2,0,0,0,132,0,49,49,49,49,0,0
1,31,29,7,26,28,255,255,192,0,14,4,1,3,0,0
1,62,252,220,80,446,255,255,46,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,35,35,11,35,1,1
1,31,29,370,306,746,255,255,54,0,20,23,20,20,0,0
0,254,0,0,2,0,0,0,57,2,34,34,24,34,1,1
0,254,0,0,2,0,0,0,57,2,29,29,13,29,1,1
0,254,0,0,2,0,0,0,57,2,24,24,13,24,1,1
1,31,29,4,12,12,255,255,86,0,4,2,1,1,0,0
0,31,29,0,2,2,0,0,65,0,2,2,2,5,0,0
0,254,0,0,2,0,0,0,52,2,4,4,1,4,2,1
109,254,0,0,2,0,0,0,90,2,10,10,8,10,4,1
1,31,29,2,6,8,255,255,53,0,8,22,4,7,0,0
1,31,29,5,14,18,255,255,120,0,1,2,1,1,0,0
1,31,29,15,52,54,255,255,56,0,1,1,1,4,0,0
0,254,0,0,2,0,0,0,57,2,18,18,17,18,1,1
0,254,0,0,2,0,0,0,57,2,22,22,22,23,1,1
0,60,0,0,2,0,0,0,132,0,18,18,16,18,0,0
1,31,29,8,52,42,255,255,716,0,2,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,16,16,12,16,1,1
0,31,29,0,2,2,0,0,73,0,3,2,1,1,0,0
1,31,29,36,84,86,255,255,58,0,7,6,1,1,0,0
0,31,29,0,2,2,0,0,73,0,4,2,2,2,0,0
1,31,29,6,22,24,255,255,93,0,3,7,2,2,0,0
1,31,29,16,44,46,255,255,63,0,12,2,1,3,0,0
1,62,252,8,72,28,255,255,971,1,1,1,1,1,3,1
0,60,0,0,2,0,0,0,132,0,27,27,16,27,0,0
1,31,29,28,68,70,255,255,59,0,2,3,1,2,0,0
1,254,252,2,14,8,255,255,609,1,1,1,1,1,3,1
0,31,29,0,2,2,0,0,73,0,2,1,1,1,0,0
1,31,29,17,48,48,255,255,62,0,6,8,1,1,0,0
1,31,29,5,14,18,255,255,120,0,2,1,1,1,0,0
82,254,0,0,2,0,0,0,100,2,6,6,3,6,2,1
1,31,29,39,90,92,255,255,57,0,2,6,1,1,0,0
1,31,29,17,64,60,255,255,94,0,1,1,1,1,0,0
0,31,29,0,4,4,0,0,142,0,10,5,1,3,0,0
1,31,29,32,122,126,255,255,64,0,4,6,1,1,0,0
1,31,29,5,12,18,255,255,132,0,1,4,1,2,0,0
0,254,0,0,2,0,0,0,57,2,31,31,24,31,1,1
1,31,29,18,48,50,255,255,62,0,2,3,1,1,0,0
0,31,29,0,2,2,0,0,73,0,3,2,2,2,0,0
0,254,0,0,2,0,0,0,57,2,15,15,15,15,1,1
0,254,0,0,2,0,0,0,57,2,23,23,4,23,1,1
0,254,0,0,2,0,0,0,57,2,24,24,7,25,1,1
3,254,0,0,2,0,0,0,100,2,4,4,3,4,4,1
0,31,29,0,4,4,0,0,138,0,3,2,1,2,0,0
0,254,0,0,2,0,0,0,57,2,27,27,24,28,1,1
0,254,0,0,2,0,0,0,57,2,26,26,12,26,1,1
1,31,29,27,68,68,255,255,59,0,6,5,1,1,0,0
1,31,29,2,8,10,255,255,132,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,10,10,3,3,1,1
1,254,252,1,58,16,255,255,1174,1,1,1,1,1,2,1
0,31,29,0,2,2,0,0,73,0,3,3,1,2,0,0
1,254,252,2,12,8,255,255,84,1,3,3,2,3,2,1
1,31,29,390,438,858,255,255,56,0,8,5,1,2,0,0
0,60,0,0,2,0,0,0,132,0,37,37,19,37,0,0
3,254,0,0,2,0,0,0,100,2,12,12,4,14,2,1
0,254,0,0,2,0,0,0,57,2,38,38,22,38,1,1
0,60,0,0,2,0,0,0,132,0,18,18,14,18,0,0
1,31,29,36,52,88,255,255,68,0,15,11,3,3,0,0
0,254,0,0,2,0,0,0,57,2,38,38,17,38,1,1
0,60,0,0,2,0,0,0,132,0,44,44,22,44,0,0
1,31,29,4,16,18,255,255,96,0,7,3,1,3,0,0
1,31,29,15,42,44,255,255,63,0,6,8,1,1,0,0
1,254,252,1,10,8,255,255,56,1,1,1,1,1,5,1
1,31,29,8,54,42,255,255,700,0,1,1,1,4,0,0
0,60,0,0,2,0,0,0,132,0,36,36,36,36,0,0
1,62,252,3,10,12,255,255,79,1,1,1,1,1,3,1
1,31,29,5,12,18,255,255,132,0,5,5,6,6,0,0
3,254,0,0,2,0,0,0,100,2,7,7,2,7,4,1
0,31,29,0,2,2,0,0,73,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,20,32,1,1
1,31,29,7,32,24,255,255,117,0,4,2,1,3,0,0
0,31,29,0,4,4,0,0,142,0,7,14,1,2,0,0
0,254,0,0,2,0,0,0,84,2,3,1,1,1,5,1
89,254,0,0,2,0,0,0,100,2,12,12,3,16,3,1
1,31,29,12,36,38,255,255,65,0,9,9,1,2,0,0
1,31,29,12,36,38,255,255,65,0,3,7,1,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,25,32,1,1
0,254,0,0,2,0,0,0,57,2,39,39,24,39,1,1
0,31,29,0,2,2,0,0,73,0,1,1,1,2,0,0
0,254,0,0,2,0,0,0,57,2,25,25,25,25,1,1
0,254,0,0,2,0,0,0,57,2,30,30,16,30,1,1
0,254,0,0,2,0,0,0,57,2,26,26,17,26,1,1
0,254,0,0,2,0,0,0,57,2,38,38,34,38,1,1
0,254,0,0,2,0,0,0,57,2,32,32,15,32,1,1
0,254,0,0,2,0,0,0,84,2,2,1,1,1,5,1
0,60,0,0,2,0,0,0,132,0,44,44,19,44,0,0
1,31,29,5,14,18,255,255,120,0,3,2,1,3,0,0
1,31,29,14,40,42,255,255,64,0,5,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,43,43,43,43,1,1
1,31,29,18,48,50,255,255,62,0,8,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,34,34,20,34,1,1
0,254,0,0,2,0,0,0,57,2,32,32,2,32,1,1
0,31,29,0,2,2,0,0,73,0,3,4,3,3,0,0
1,62,252,8,24,20,255,255,206,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,29,29,14,29,1,1
3,254,0,0,2,0,0,0,100,2,6,6,3,6,3,1
1,62,252,9,22,22,255,255,54,1,1,1,1,2,3,1
0,254,0,0,2,0,0,0,57,2,47,47,8,47,1,1
1,31,29,6,22,24,255,255,87,0,4,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,25,25,18,25,1,1
0,31,29,0,2,2,0,0,73,0,1,2,1,2,0,0
1,31,29,15,52,54,255,255,56,0,1,1,1,4,0,0
0,31,29,0,2,2,0,0,65,0,1,1,1,2,0,0
1,31,29,27,68,66,255,255,59,0,16,5,1,1,0,0
0,31,29,0,2,2,0,0,66,0,1,1,1,1,0,0
1,31,29,4,16,18,255,255,96,0,10,13,5,5,0,0
1,31,29,2,6,8,255,255,53,0,3,4,1,4,0,0
0,254,0,0,2,0,0,0,57,2,44,44,28,44,1,1
1,31,29,5,14,18,255,255,120,0,2,1,1,1,0,0
1,31,29,27,66,68,255,255,59,0,6,5,1,2,0,0
1,31,29,18,48,50,255,255,62,0,2,5,1,2,0,0
3,254,0,0,2,0,0,0,100,2,3,3,2,3,4,1
1,31,29,4,10,12,255,255,53,0,3,3,1,3,0,0
0,254,0,0,2,0,0,0,57,2,34,34,24,34,1,1
0,254,0,0,2,0,0,0,57,2,31,31,16,31,1,1
0,254,0,0,2,0,0,0,57,2,32,32,9,32,1,1
0,254,0,0,2,0,0,0,57,2,16,16,7,16,1,1
0,254,0,0,2,0,0,0,52,2,2,2,1,2,2,1
0,31,29,0,4,4,0,0,130,0,4,3,1,3,0,0
0,31,29,0,2,2,0,0,65,0,2,2,1,1,0,0
1,31,29,7,32,24,255,255,117,0,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,28,28,17,28,1,1
0,254,0,0,2,0,0,0,57,2,19,19,17,19,1,1
0,254,0,0,2,0,0,0,57,2,57,57,34,57,1,1
0,254,0,0,2,0,0,0,57,2,44,44,24,44,1,1
12,254,0,0,2,0,0,0,388,2,1,1,1,1,3,1
1,31,29,21,54,56,255,255,61,0,6,5,1,2,0,0
1,31,29,4,10,12,255,255,53,0,6,3,1,3,0,0
1,31,29,5,14,18,255,255,120,0,2,2,2,1,0,0
0,254,0,0,2,0,0,0,57,2,31,31,16,31,1,1
1,31,29,5,12,18,255,255,132,0,2,3,1,1,0,0
1,31,29,4,16,18,255,255,96,0,10,12,6,6,0,0
0,254,0,0,2,0,0,0,57,2,43,43,43,43,1,1
1,31,29,11,34,36,255,255,66,0,8,4,1,1,0,0
43,254,0,0,2,0,0,0,100,2,3,3,2,3,4,1
1,31,29,7,26,26,255,255,158,0,8,13,1,2,0,0
1,31,29,15,42,44,255,255,63,0,3,4,1,2,0,0
1,254,252,2,12,10,255,255,144,1,2,2,1,2,2,1
13,254,0,0,2,0,0,0,100,2,7,7,3,7,3,1
1,31,29,14,40,42,255,255,64,0,13,8,1,1,0,0
1,31,29,13,38,40,255,255,64,0,2,11,1,2,0,0
1,31,29,12,38,36,255,255,64,0,10,9,1,2,0,0
1,31,29,5,12,18,255,255,132,0,2,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,30,30,15,30,1,1
0,254,0,0,2,0,0,0,57,2,44,44,44,44,1,1
1,31,29,25,40,64,255,255,71,0,6,9,2,2,0,0
1,254,252,1,10,8,255,255,56,1,1,1,1,1,5,1
0,254,0,0,2,0,0,0,57,2,30,30,5,30,1,1
0,60,0,0,2,0,0,0,132,0,31,31,7,31,0,0
0,60,0,0,2,0,0,0,132,0,34,34,19,34,0,0
1,31,29,5,14,18,255,255,120,0,2,2,2,2,0,0
0,254,0,0,2,0,0,0,57,2,11,11,11,11,1,1
0,254,0,0,2,0,0,0,57,2,47,47,22,47,1,1
0,254,0,0,2,0,0,0,57,2,25,25,11,25,1,1
1,31,29,4,8,12,255,255,53,0,3,3,1,3,0,0
0,254,0,0,2,0,0,0,57,2,34,34,17,34,1,1
0,31,29,0,2,2,0,0,73,0,3,3,2,2,0,0
0,31,29,0,2,2,0,0,73,0,4,2,3,1,0,0
1,31,29,123,450,426,255,255,134,0,17,16,12,12,0,0
1,31,29,8,52,42,255,255,715,0,1,1,1,2,0,0
0,31,29,0,2,2,0,0,73,0,3,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,12,32,1,1
102,254,0,0,2,0,0,0,100,2,4,4,2,4,3,1
0,31,29,0,2,2,0,0,65,0,2,1,1,3,0,0
1,31,29,216,258,480,255,255,57,0,1,2,1,1,0,0
1,31,29,7,32,24,255,255,117,0,1,2,1,1,0,0
1,31,29,14,40,42,255,255,64,0,9,9,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,11,32,1,1
0,254,0,0,2,0,0,0,57,2,31,31,16,31,1,1
0,31,29,0,4,4,0,0,142,0,9,8,1,3,0,0
0,254,0,0,2,0,0,0,57,2,19,19,19,19,1,1
0,254,0,0,2,0,0,0,57,2,10,10,10,10,1,1
1,62,252,8,40,22,255,255,772,1,1,1,1,2,3,1
0,31,29,0,2,2,0,0,73,0,4,1,1,1,0,0
0,60,0,0,2,0,0,0,132,0,22,22,16,22,0,0
0,254,0,0,2,0,0,0,57,2,18,18,8,18,1,1
0,254,0,0,2,0,0,0,84,2,1,1,1,1,5,1
1,254,252,1,34,10,255,255,1006,1,1,1,1,1,2,1
1,31,29,12,36,38,255,255,65,0,5,16,1,1,0,0
0,254,0,0,2,0,0,0,57,2,28,28,13,28,1,1
0,254,0,0,2,0,0,0,57,2,20,20,17,20,1,1
1,254,252,1,10,6,255,255,94,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,14,14,14,14,1,1
0,254,0,0,2,0,0,0,57,2,17,17,8,17,1,1
1,31,29,32,122,126,255,255,64,0,5,4,1,1,0,0
1,31,29,6,22,24,255,255,93,0,2,7,1,1,0,0
1,62,252,2,10,10,255,255,83,1,1,1,1,1,3,1
1,31,29,2,6,8,255,255,53,0,3,3,1,4,0,0
3,254,0,0,2,0,0,0,100,2,7,7,3,10,3,1
1,31,29,5,12,18,255,255,132,0,4,2,1,2,0,0
0,31,29,0,2,2,0,0,73,0,4,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,18,18,10,18,1,1
0,31,29,0,2,2,0,0,65,0,4,6,1,1,0,0
1,31,29,21,54,56,255,255,61,0,13,5,1,2,0,0
1,31,29,28,68,70,255,255,59,0,4,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,43,43,17,43,1,1
0,254,0,0,2,0,0,0,57,2,11,11,11,11,1,1
0,254,0,0,2,0,0,0,57,2,19,19,7,19,1,1
0,254,0,0,2,0,0,0,57,2,45,45,43,45,1,1
1,31,29,12,36,38,255,255,65,0,13,7,1,1,0,0
0,254,0,0,2,0,0,0,57,2,43,43,43,43,1,1
1,31,29,4,16,18,255,255,96,0,4,4,2,2,0,0
1,31,29,8,52,42,255,255,716,0,1,1,1,1,0,0
1,31,29,6,22,24,255,255,87,0,3,12,1,1,0,0
1,31,29,33,78,80,255,255,58,0,6,4,1,2,0,0
1,31,29,26,64,66,255,255,59,0,2,5,1,1,0,0
0,254,0,0,2,0,0,0,57,2,32,32,20,32,1,1
1,31,29,16,44,46,255,255,63,0,1,2,1,1,0,0
1,31,29,1,14,6,255,255,638,0,1,1,1,1,0,0
0,254,0,0,2,0,0,0,57,2,44,44,44,44,1,1
0,254,0,0,2,0,0,0,57,2,37,37,31,37,1,1
