attack_cat,sttl,ct_state_ttl,dttl,state,ackdat,proto,tcprtt,Label
3,254,2,0,2,0.0,63,0.0,1
0,0,0,0,0,0.0,5,0.0,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000142,1,0.000627,0
0,31,0,29,1,0.000733,1,0.001414,0
0,31,0,29,1,0.00012,1,0.00059,0
2,254,2,0,2,0.0,3,0.0,1
0,31,0,29,1,0.000116,1,0.000584,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000187,1,0.000788,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
2,254,1,252,1,0.099412,1,0.206916,1
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000129,1,0.000721,0
0,31,0,29,0,0.0,0,0.0,0
5,254,2,0,2,0.0,0,0.0,1
2,254,1,252,1,0.052454,1,0.151932,1
2,254,1,252,1,0.084809,1,0.183993,1
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
3,254,1,252,1,0.03369,1,0.050914,1
3,254,2,0,2,0.0,13,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000116,1,0.000642,0
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000154,1,0.001359,0
2,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000139,1,0.000772,0
0,31,0,29,1,0.000169,1,0.001285,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000125,1,0.000639,0
0,31,0,29,0,0.0,0,0.0,0
8,254,2,0,2,0.0,0,0.0,1
3,62,1,252,1,0.09101,1,0.184493,1
4,254,2,0,2,0.0,119,0.0,1
0,31,0,29,1,0.000159,1,0.000744,0
2,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
4,254,2,0,2,0.0,3,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000127,1,0.000732,0
0,31,0,29,1,0.000135,1,0.000639,0
1,254,2,0,2,0.0,0,0.0,1
3,62,1,252,1,0.050169,1,0.06366,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000167,1,0.000711,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000146,1,0.000699,0
3,254,2,0,2,0.0,23,0.0,1
0,31,0,29,1,0.000148,1,0.000794,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00013,1,0.000633,0
0,31,0,29,1,0.000115,1,0.000598,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000137,1,0.00071,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000135,1,0.000669,0
0,60,0,0,2,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000156,1,0.000761,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000126,1,0.000591,0
5,254,1,252,1,0.046605,1,0.055194,1
0,31,0,29,1,0.000131,1,0.000695,0
0,31,0,29,1,0.000151,1,0.000689,0
0,31,0,29,1,0.000158,1,0.000736,0
0,31,0,29,0,0.0,0,0.0,0
3,254,2,0,2,0.0,63,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
3,254,2,0,2,0.0,4,0.0,1
4,254,2,0,2,0.0,3,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000667,1,0.001891,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00014,1,0.000681,0
0,31,0,29,1,0.000137,1,0.00065,0
3,254,2,0,2,0.0,3,0.0,1
0,31,0,29,1,0.000126,1,0.000589,0
0,31,0,29,1,0.000123,1,0.003261,0
3,254,2,0,2,0.0,3,0.0,1
0,31,0,29,1,0.0,1,0.0,0
2,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000156,1,0.000704,0
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000133,1,0.000655,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
2,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000142,1,0.000626,0
3,62,1,252,1,0.053914,1,0.096562,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000131,1,0.000659,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000177,1,0.000746,0
0,31,0,29,1,0.000129,1,0.000628,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000122,1,0.000688,0
0,31,0,29,1,0.000118,1,0.000616,0
8,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000154,1,0.000659,0
0,31,0,29,0,0.0,0,0.0,0
3,62,1,252,1,0.062253,1,0.070158,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000208,1,0.000769,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
8,254,1,252,1,0.053035,1,0.081745,1
3,62,1,252,1,0.045204,1,0.090833,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000142,1,0.000727,0
2,254,1,252,1,0.041751,1,0.101182,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000138,1,0.000665,0
3,254,2,0,2,0.0,61,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000154,1,0.000749,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000134,1,0.00066,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000138,1,0.000685,0
0,31,0,29,1,0.000165,1,0.000805,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000136,1,0.000699,0
0,31,0,29,1,0.000114,1,0.00105,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000144,1,0.00067,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.001049,1,0.001637,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000141,1,0.000718,0
0,31,0,29,1,0.000151,1,0.00069,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000141,1,0.000755,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00015,1,0.000662,0
0,31,0,29,1,0.000143,1,0.000673,0
3,254,2,0,2,0.0,12,0.0,1
3,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000134,1,0.000689,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000139,1,0.000691,0
0,31,0,29,1,0.000135,1,0.000629,0
0,31,0,29,0,0.000141,1,0.000749,0
0,31,0,29,1,0.00014,1,0.000765,0
0,31,0,29,1,0.000153,1,0.00065,0
0,31,0,29,1,0.000128,1,0.000589,0
0,31,0,29,1,0.00016,1,0.000743,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
3,254,1,252,1,0.05584,1,0.182157,1
0,31,0,29,0,0.0,0,0.0,0
4,254,2,0,2,0.0,13,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000145,1,0.000703,0
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000161,1,0.000761,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
4,254,2,0,2,0.0,53,0.0,1
3,62,1,252,1,0.024606,1,0.083584,1
0,31,0,29,1,0.000122,1,0.000597,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000125,1,0.000677,0
0,31,0,29,1,0.00013,1,0.000616,0
0,31,0,29,1,0.000156,1,0.000682,0
2,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.003805,1,0.017438,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000128,1,0.000651,0
7,254,2,0,2,0.0,95,0.0,1
1,254,2,0,2,0.0,0,0.0,1
5,254,1,252,1,0.049811,1,0.072198,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000174,1,0.000851,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,64,0,0,2,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000136,1,0.000675,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000131,1,0.000641,0
2,254,1,252,1,0.084879,1,0.166068,1
0,31,0,29,1,0.000149,1,0.000696,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000138,1,0.000681,0
3,254,1,252,1,0.068661,1,0.11868,1
0,31,0,29,1,0.000146,1,0.000745,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00016,1,0.000795,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000148,1,0.000698,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000176,1,0.002197,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000131,1,0.000719,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000195,1,0.000746,0
0,31,0,29,1,0.000142,1,0.000746,0
0,31,0,29,1,0.000149,1,0.000689,0
0,31,0,29,1,0.000125,1,0.000656,0
5,254,1,252,1,0.015064,1,0.069375,1
2,254,2,0,2,0.0,3,0.0,1
0,60,0,0,2,0.0,0,0.0,0
2,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000272,1,0.000833,0
0,31,0,29,1,0.000143,1,0.000694,0
0,31,0,29,1,0.000118,1,0.000696,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
3,62,1,252,1,0.087165,1,0.154817,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,1,252,1,0.082849,1,0.154564,1
2,254,1,252,1,0.09707,1,0.247097,1
3,254,1,252,1,0.013838,1,0.027297,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000155,1,0.000712,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000123,1,0.000694,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000124,1,0.000591,0
0,0,2,0,2,0.0,5,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000142,1,0.000848,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000164,1,0.000697,0
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000423,1,0.000914,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000123,1,0.000663,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000157,1,0.001371,0
0,31,0,29,1,0.000136,1,0.000661,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000112,1,0.000569,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000116,1,0.000588,0
0,31,0,29,1,0.000164,1,0.000717,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000181,1,0.00074,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00014,1,0.000703,0
0,31,0,29,1,0.000147,1,0.00082,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000273,1,0.000766,0
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
3,254,1,252,1,0.062276,1,0.126345,1
0,254,0,252,5,0.077204,1,0.196715,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000166,1,0.000682,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000126,1,0.000677,0
3,62,1,252,1,0.046119,1,0.09631,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000145,1,0.000683,0
0,31,0,29,1,0.000155,1,0.000714,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000146,1,0.000717,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000136,1,0.00065,0
0,31,0,29,1,0.000161,1,0.001333,0
3,254,2,0,2,0.0,69,0.0,1
0,31,0,29,1,0.000133,1,0.000644,0
2,254,1,252,1,0.081745,1,0.171999,1
0,31,0,29,1,0.000126,1,0.0007,0
3,254,1,252,1,0.073172,1,0.095049,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000146,1,0.000755,0
0,31,0,29,1,0.000113,1,0.00057,0
1,254,2,0,2,0.0,3,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000131,1,0.000659,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.00023,1,0.003562,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000122,1,0.000585,0
3,62,1,252,1,0.069912,1,0.116007,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000135,1,0.000659,0
0,31,0,29,0,0.0,0,0.0,0
2,254,1,252,1,0.01957,1,0.062692,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000136,1,0.000671,0
2,254,1,252,1,0.151594,1,0.350808,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000134,1,0.000703,0
0,31,0,29,0,0.0,0,0.0,0
3,254,1,252,1,0.044227,1,0.091193,1
0,31,0,29,1,0.000142,1,0.000655,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
2,254,6,0,3,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000138,1,0.000794,0
2,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000143,1,0.000727,0
0,31,0,29,1,0.000126,1,0.000726,0
3,254,1,252,1,0.045429,1,0.052231,1
0,31,0,29,1,0.000134,1,0.00061,0
0,31,0,29,1,0.000133,1,0.000591,0
3,254,2,0,2,0.0,3,0.0,1
0,31,0,29,1,0.00014,1,0.000672,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000141,1,0.000673,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000153,1,0.000843,0
0,31,0,29,1,0.000112,1,0.000634,0
3,62,1,252,1,0.242181,1,0.401464,1
5,254,2,0,2,0.0,0,0.0,1
3,62,1,252,1,0.088517,1,0.180865,1
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000148,1,0.000713,0
3,254,1,252,1,0.049733,1,0.065231,1
0,0,0,0,0,0.0,5,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00013,1,0.000699,0
3,254,2,0,2,0.0,26,0.0,1
0,31,0,29,1,0.000124,1,0.000606,0
0,31,0,29,1,0.00015,1,0.000779,0
0,31,0,29,1,0.000127,1,0.00068,0
1,254,2,0,2,0.0,0,0.0,1
2,254,1,252,1,0.047805,1,0.121287,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000115,1,0.000566,0
0,254,6,0,3,0.0,1,0.0,0
0,31,0,29,1,0.000158,1,0.000821,0
0,31,0,29,1,0.000162,1,0.000703,0
2,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000152,1,0.000785,0
0,31,0,29,1,0.000197,1,0.000805,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000157,1,0.000756,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
2,254,2,0,2,0.0,0,0.0,1
0,29,0,31,1,0.0,1,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
5,254,1,252,1,0.097473,1,0.181251,1
0,31,0,29,1,0.000111,1,0.000576,0
0,31,0,29,1,0.000125,1,0.000604,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000137,1,0.000673,0
0,31,0,29,0,0.0,0,0.0,0
0,64,0,0,2,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.00011,1,0.000612,0
0,31,0,29,1,0.00013,1,0.000651,0
0,31,0,29,1,0.000124,1,0.00059,0
5,254,1,252,1,0.046245,1,0.081287,1
3,62,1,252,1,0.053557,1,0.066578,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000116,1,0.000676,0
3,254,1,252,1,0.116588,1,0.195232,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
4,254,2,0,2,0.0,3,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000182,1,0.000787,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000148,1,0.000721,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000134,1,0.00069,0
0,31,0,29,1,0.000129,1,0.000708,0
2,254,1,252,1,0.05827,1,0.147387,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000134,1,0.000699,0
2,254,1,252,1,0.092512,1,0.199624,1
0,31,0,29,0,0.0,0,0.0,0
3,62,1,252,1,0.047202,1,0.05456,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000133,1,0.000624,0
3,254,2,0,2,0.0,107,0.0,1
3,62,1,252,1,0.051178,1,0.080935,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000138,1,0.000762,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000137,1,0.000675,0
3,254,2,0,2,0.0,13,0.0,1
3,254,2,0,2,0.0,3,0.0,1
1,254,2,0,2,0.0,0,0.0,1
5,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000141,1,0.000666,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000145,1,0.000723,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000139,1,0.000754,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000137,1,0.000675,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000141,1,0.000747,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000143,1,0.000723,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000132,1,0.000674,0
0,31,0,29,1,0.000154,1,0.000768,0
0,31,0,29,1,0.000145,1,0.000697,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000158,1,0.000728,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
4,254,2,0,2,0.0,69,0.0,1
0,31,0,29,1,0.00014,1,0.000748,0
0,31,0,29,1,0.000152,1,0.000697,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
5,254,2,0,2,0.0,94,0.0,1
0,60,0,0,2,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000143,1,0.000651,0
0,31,0,29,1,0.000154,1,0.000688,0
0,31,0,29,1,0.00014,1,0.000669,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.001005,1,0.001454,0
1,254,2,0,2,0.0,0,0.0,1
